object_idid,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
10-206-01064,BIHAR,Sitamarhi,Suppi,0,0,,221,10,1064,,71084.15120823232,92250451.53846286,0.0,0.0,66,0.0
10-234-01463,BIHAR,Rohtas,Nasriganj,0,0,,215,10,1463,,90034.07903274363,167356919.18355417,1.002412841796875e-05,7.116757928757441e-06,126,0.0008967114990234375
10-234-01464,BIHAR,Rohtas,Rajpur,0,0,,215,10,1464,,68660.48684625747,85633596.4997788,6.199259643554688e-06,6.1992596435546875e-06,63,0.0003905533575439453
10-234-01465,BIHAR,Rohtas,Sanjhauli,0,0,,215,10,1465,,56591.722358052,83833486.39015438,7.6522412109375e-06,7.375482817150298e-06,63,0.0004646554174804688
10-203-01023,BIHAR,Pashchim Champaran,Thakrahan,0,0,,211,10,1023,,79847.09402015881,199004696.79409248,0.0,0.0,145,0.0
10-204-01054,BIHAR,Purbi Champaran,Phenhara,0,0,,213,10,1054,,44565.43736457999,67645025.94776015,0.0,0.0,51,0.0
10-219-01262,BIHAR,Saran,Maker,0,0,,218,10,1262,,62357.8736467211,96585777.9808088,0.0,0.0,71,0.0
10-220-01282,BIHAR,Vaishali,Sahdai Buzurg,0,0,,224,10,1282,,74546.65030748869,114161677.3631406,0.0,0.0,84,0.0
10-229-01388,BIHAR,Nalanda,Tharthari,0,0,,209,10,1388,,71853.42144919158,77411758.12428828,0.0,0.0,54,0.0
10-229-01389,BIHAR,Nalanda,Parbalpur,0,0,,209,10,1389,,54466.2339431045,76043839.88376136,0.0,0.0,56,0.0
10-203-01022,BIHAR,Pashchim Champaran,Bhitaha,0,0,,211,10,1022,,72626.86760213553,166969906.7472905,0.0,0.0,117,0.0
10-203-01013,BIHAR,Pashchim Champaran,Sidhaw,0,0,,211,10,1013,,195582.3602130639,1085337194.6715722,0.0,0.0,781,0.0
10-203-01014,BIHAR,Pashchim Champaran,Ramnagar,0,0,,211,10,1014,,230865.78384139363,866139404.2451236,0.0,0.0,621,0.0
10-203-01015,BIHAR,Pashchim Champaran,Gaunaha,0,0,,211,10,1015,,136504.94021895694,605322845.3823951,0.0,0.0,441,0.0
10-203-01016,BIHAR,Pashchim Champaran,Mainatanr,0,0,,211,10,1016,,115419.13930249632,312998546.4010918,0.0,0.0,221,0.0
10-203-01017,BIHAR,Pashchim Champaran,Narkatiaganj,0,0,,211,10,1017,,149144.20649331805,441857686.2127825,0.0,0.0,314,0.0
10-203-01018,BIHAR,Pashchim Champaran,Lauriya,0,0,,211,10,1018,,120853.32018665274,255440417.54612216,0.0,0.0,183,0.0
10-203-01019,BIHAR,Pashchim Champaran,Bagaha,0,0,,211,10,1019,,135587.24079810514,491292931.53180623,0.0,0.0,352,0.0
